#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
192-168-0-110 node-2 24 44 15 600 622 11.97235407261333333333 .00772640782785983346 .002 .39882100970000000000 .07750550885078328824 .00047169811320754716 4.77482633972555671768 .00570338899474363487 -11184 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 1472 11.97243387002000000000 .00750111717112466121 .002 .41398261574666666666 .08182276530870944140 .00047169811320754716 4.95637949036486699183 .00570774603455491351 -11566 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 447 11.97233913025333333333 .00774123943223783060 .002 .39518501588666666666 .07557141740622206670 .00047169811320754716 4.73128902938972451587 .00570236954373958913 -11093 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 397 11.97234812600000000000 .00772831180643409275 .002 .39633508403333333333 .07483444504329421109 .00047169811320754716 4.74506160059453085482 .00570269300839264711 -11298 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 947 11.97238526762666666666 .00772974935638879561 .002 .40365249772666666666 .07968431987741466931 .00047169811320754716 4.83268321702345055817 .00570476299131545341 -11451 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 72 11.97230311622000000000 .00773835739360040671 .002 .38855241160000000000 .07133659801386363237 .00047169811320754716 4.65186724821347607615 .00570052924401779733 -10797 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 197 11.97232209002000000000 .00774136414990360274 .002 .39144138451000000000 .07281417320302686915 .00047169811320754716 4.68646233471708565359 .00570132864090497417 -10924 OK|591+/-3
192-168-0-110 node-2 24 44 15 600 372 11.97233418996000000000 .00765237261856243968 .002 .39533500101333333333 .07411408339026342947 .00047169811320754716 4.73308274911980191245 .00570240882067421837 -11163 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 1322 11.97243340063333333333 .00606275173065455072 .002 .41671747394333333333 .06202957052228693538 .00047169811320754716 4.98912220366671477412 .00570854181748873413 -11600 OK|590+/-4
192-168-0-110 node-2 24 44 15 600 1172 11.97241870834666666666 .00591634324653523039 .002 .41652049245333333333 .05626159629495726074 .00047169811320754716 4.98675773625805458763 .00570847745690351395 -11667 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 997 11.97239802110666666666 .00702639303431317810 .002 .40677544285666666666 .07508219382704626485 .00047169811320754716 4.87007750709194396714 .00570565617801048628 -11417 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 172 11.97232509966000000000 .00722353688318159624 .002 .39073303107000000000 .06886715922558792943 .00047169811320754716 4.67798287514559162643 .00570113568354571438 -10807 OK|590+/-2
192-168-0-110 node-2 24 44 15 600 122 11.97232308782666666666 .00710696214374535063 .002 .39048328016333333333 .06806068559557816392 .00047169811320754716 4.67499199050976430910 .00570106629727284437 -10682 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 347 11.97234195457333333333 .00716342591865182340 .002 .39537129122666666666 .07042806051187285989 .00047169811320754716 4.73352029758685299712 .00570242251196752519 -11049 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 1122 11.97241585877333333333 .00697809155618599274 .002 .40891619431000000000 .07616725299756070978 .00047169811320754716 4.89571472966628189157 .00570627656424335167 -11549 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 597 11.97236374753333333333 .00701979419382759824 .002 .39994512542333333333 .07271888510033004555 .00047169811320754716 4.78828852062098809474 .00570370837197276417 -11214 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 1097 11.97241511500000000000 .00693698997713524161 .002 .40871781589000000000 .07535231589460118093 .00047169811320754716 4.89333935673122317735 .00570621936673106968 -11560 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 1047 11.97240958932666666666 .00697887344483782783 .002 .40739596400000000000 .07545743442006715126 .00047169811320754716 4.87751134604658147757 .00570583866718515096 -11406 OK|590+/-4
192-168-0-110 node-2 24 44 15 600 272 11.97233813904666666666 .00713607350090155601 .002 .39414695087333333333 .06932713560667711583 .00047169811320754716 4.71886057232976154905 .00570208169188701206 -10914 OK|591+/-3
192-168-0-110 node-2 24 44 15 600 1247 11.97242962126666666666 .00684230072593703455 .002 .41183663399333333333 .07603324920426467155 .00047169811320754716 4.93068511594454261888 .00570712303938528120 -11568 OK|590+/-4
192-168-0-110 node-2 24 44 15 600 1347 11.97243834272000000000 .00681429057899719888 .002 .41279990474000000000 .07648534240845716878 .00047169811320754716 4.94222140738033947249 .00570740547403895249 -11551 OK|591+/-6
192-168-0-110 node-2 24 44 15 600 922 11.97240984436000000000 .00695511488086186898 .002 .40566328213333333333 .07442841156063831320 .00047169811320754716 4.85676707250850810206 .00570534496438535870 -11450 OK|591+/-3
